,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,region_recod
103,0.47299999,MWI,4,938.3499800000001,17.60400009155273,8.100000381469728,3.185531854629517,4.842539787292481,32.94229125976563,SubSaharian
24,0.792,BGR,1,13967.45,7.202000141143799,4.599999904632568,3.387006282806397,4.061970233917236,88.16580963134766,EastEurope
120,0.55500001,NPL,8,1462.08,28.17499923706055,7.0,3.591810703277588,3.9813001155853267,59.67913055419922,SouthAsia
55,0.41800001,ERI,4,1007.28,,7.5999999046325675,,,28.41555976867676,SubSaharian
126,0.52499998,NGA,4,2246.8201,160.3419952392578,7.0999999046325675,2.85273027420044,,,SubSaharian
145,0.76200002,KNA,10,11237.75,,,,2.784240007400513,82.93193817138672,Caribbean
155,0.92400002,SGP,7,54268.148,5.46999979019165,3.2999999523162837,5.797279357910156,2.91579008102417,,SouthEastAsia
65,0.57499999,GHA,4,2584.6001,,7.5999999046325675,3.8389039039611816,6.178549766540527,51.05852890014648,SubSaharian
31,0.64600003,CPV,4,3972.6101,0.5120000243186951,8.600000381469728,3.891948699951172,4.99245023727417,69.1138687133789,SubSaharian
130,0.78299999,PLW,9,9392.5996,0.0179999992251396,,,,70.16300201416016,Pacific
42,0.77499998,CRI,2,9485.71,,3.5,4.666448593139648,6.9272398948669425,78.12113952636719,LatAm
175,0.83600003,ARE,3,20310.109,,2.5,5.27984094619751,,,NorthAfrica
162,0.88200003,ESP,5,31086.35,46.45500183105469,2.4000000953674316,3.4416911602020264,4.27092981338501,96.4586181640625,WesternDem
34,0.39399999,TCD,4,1651.05,,8.600000381469728,2.528029441833496,2.8497099876403813,,SubSaharian
123,0.91299999,NZL,5,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019531,WesternDem
109,0.77899998,MUS,4,10944.54,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469,SubSaharian
139,0.42100000000000004,GNB,4,961.26001,,8.5,,2.173130035400391,,SubSaharian
22,0.514,SLB,9,2113.0601,0.5619999766349792,6.300000190734862,,,,Pacific
154,0.43099999,SLE,4,979.9500099999999,6.23199987411499,8.399999618530272,2.986086368560791,2.661669969558716,,SubSaharian
75,0.91900003,ISL,5,31313.609,0.3289999961853027,2.799999952316284,4.882655143737793,7.805850028991699,87.68177032470703,WesternDem
160,0.66500002,ZAF,4,8820.0596,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,,SubSaharian
72,0.49000001,HTI,2,1024.9399,,9.300000190734863,2.325876951217651,,,LatAm
37,,TWN,6,33965.871,23.43400001525879,,3.908831357955933,,,EastAsia
27,0.79799998,BLR,1,17780.641,9.468000411987305,3.4000000953674316,,4.990439891815186,99.46544647216795,EastEurope
89,,PRK,6,1727.8199,,4.199999809265137,,,76.20372772216797,EastAsia
67,0.86500001,GRC,5,25295.27,10.927000045776369,3.7999999523162837,2.999258995056152,,95.0673828125,WesternDem
184,0.90799999,GBR,5,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755128,98.2799835205078,WesternDem
46,0.875,CZE,1,23847.08,10.51200008392334,2.799999952316284,3.578998565673828,4.089019775390625,,EastEurope
9,0.89200002,AUT,5,38868.039,8.543999671936035,1.5,4.492074966430664,5.499549865722656,,WesternDem
118,0.63700002,NAM,4,4521.29,,6.5,3.05289626121521,,,SubSaharian
12,0.57499999,BGD,8,1796.64,154.6950073242188,7.5,3.293149709701538,1.9572600126266482,57.23989868164063,SouthAsia
91,0.79900002,KWT,3,64342.710999999996,3.999000072479248,3.0999999046325684,3.075769186019898,,83.57884979248047,NorthAfrica
64,0.92400002,DEU,5,39486.699,80.98300170898438,2.099999904632568,5.241913795471191,4.952189922332764,,WesternDem
38,0.72399998,COL,2,8761.1396,47.6619987487793,6.699999809265138,3.405907869338989,4.659409999847412,78.58606719970703,LatAm
77,0.68599999,IDN,7,4780.0098,252.1649932861328,6.300000190734862,4.464125156402588,3.278609991073608,75.01837158203125,SouthEastAsia
88,0.55000001,KEN,4,1494.63,40.70000076293945,7.5,4.50993537902832,5.274750232696533,,SubSaharian
69,0.63700002,GTM,2,4438.0,,6.699999809265138,2.693367958068848,2.9417400360107417,46.71841812133789,LatAm
151,0.491,SEN,4,1527.99,,7.4000000953674325,3.760167360305786,7.396200180053711,,SubSaharian
116,0.414,MOZ,4,852.39001,25.73299980163574,7.4000000953674325,2.77046012878418,6.483220100402832,19.43997955322266,SubSaharian
93,0.58200002,LAO,7,2926.77,6.8979997634887695,7.4000000953674325,3.834710359573364,3.320110082626343,50.828941345214844,SouthEastAsia
83,0.46599999,CIV,4,1354.29,22.52400016784668,6.699999809265138,3.562078714370728,4.729380130767822,,SubSaharian
13,0.741,ARM,1,6451.9399,2.9800000190734863,6.0,3.4553134441375732,2.246599912643433,,EastEurope
97,0.42699999,LBR,4,488.26999000000006,,6.5999999046325675,3.472222328186035,2.757560014724731,,SubSaharian
121,0.92299998,NLD,5,42258.352,16.86499977111816,2.5999999046325684,5.304530620574951,5.529379844665527,93.88201904296876,WesternDem
60,0.47,DJI,4,2685.5,,5.800000190734862,,,,SubSaharian
48,0.92299998,DNK,5,37406.762,5.626999855041504,1.8999999761581419,4.81274938583374,8.627109527587892,89.81745910644531,WesternDem
23,0.86400002,BRN,7,46103.84,0.4120000004768372,4.599999904632568,4.417221069335938,3.353189945220947,87.03231811523438,SouthEastAsia
112,0.73299998,MNG,6,6277.8999,2.881999969482422,3.0999999046325684,2.909875631332398,4.599870204925537,,EastAsia
177,0.764,TUR,3,16900.711,77.69599914550781,3.7000000476837163,3.4221570491790767,4.766260147094727,87.16455078125,NorthAfrica
18,0.74699998,BIH,1,8507.6504,3.871000051498413,5.5,2.355769157409668,,,EastEurope
86,0.79299998,KAZ,1,14098.88,17.42200088500977,3.5999999046325684,3.581974983215332,2.7874999046325684,95.94628143310548,EastEurope
98,0.71899998,LBY,3,4102.8398,6.265999794006348,6.4000000953674325,1.874972462654114,,,NorthAfrica
150,0.84500003,SAU,3,20872.711,30.770000457763672,3.7000000476837163,4.109292984008788,,87.83480834960938,NorthAfrica
108,0.51300001,MRT,4,2223.01,3.36899995803833,6.300000190734862,2.6716678142547607,2.9301199913024902,23.10231971740723,SubSaharian
100,0.84600002,LTU,1,17559.75,2.931999921798706,4.199999809265137,3.930860996246338,4.612500190734863,96.36762237548828,EastEurope
68,0.75099999,GRD,10,8314.5596,,8.399999618530272,,,82.3596420288086,Caribbean
33,0.764,LKA,8,5466.8701,20.54100036621094,7.800000190734862,4.644126892089844,1.9256600141525269,85.42613983154297,SouthAsia
85,0.90200001,JPN,6,36123.77,127.12000274658199,2.5999999046325684,4.430102348327637,3.591840028762817,99.04267120361328,EastAsia
95,0.495,LSO,4,1539.79,,7.4000000953674325,4.053547382354736,,35.21265029907227,SubSaharian
166,0.54100001,SWZ,4,4110.0498,1.105999946594238,6.9000000953674325,3.79865288734436,7.049990177154541,36.21157836914063,SubSaharian
190,0.76899999,VEN,2,10513.96,,5.199999809265137,2.640229225158691,,74.78971099853516,LatAm
101,0.89600003,LUX,5,61404.48,0.550000011920929,2.099999904632568,4.580255031585693,4.0838799476623535,84.60346984863281,WesternDem
